Name,Type,Size,Scale,Source,Description
AgencyReference,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_0_FullName,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_0_MobilePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_0_OfficePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_0_Photo,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_0_UrlSlug,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_1_FullName,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_1_MobilePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_1_OfficePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_1_Photo,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Agents_1_UrlSlug,String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_BackgroundColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_DisableBanner,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_LargeBannerURL,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_OfficeLocation,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_StrokeColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Branding_TextColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_FaxNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Id,Int32,4,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_IsLicensedPropertyAgency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_IsRealEstateAgency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Logo,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Logo2,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Name,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_PhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Agency_Website,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Amenities,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
AsAt,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
AvailableFrom,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Bathrooms,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Bedrooms,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
BestContactTime,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Category,String,15,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
CategoryPath,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
District,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
DistrictId,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
EndDate,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
GeographicLocation_Accuracy,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
GeographicLocation_Easting,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
GeographicLocation_Latitude,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
GeographicLocation_Longitude,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
GeographicLocation_Northing,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
HasEmbeddedVideo,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
HasGallery,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IdealTenant,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IsBold,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IsClassified,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IsFeatured,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IsHighlighted,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
IsSuperFeatured,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
ListingGroup,String,25,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
ListingLength,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
MaxTenants,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
NoteDate,String,25,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Parking,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PetsOkay,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_0,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_1,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_10,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_11,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_12,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_13,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_14,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_15,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_16,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_17,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_18,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_2,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_3,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_4,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_5,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_6,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_7,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_8,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PhotoUrls_9,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PictureHref,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PriceDisplay,String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PropertyId,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
PropertyType,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Region,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
RegionId,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
RentPerWeek,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
ReserveState,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
SmokersOkay,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
StartDate,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
StartPrice,Int32,4,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Suburb,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
SuburbId,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Title,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
Whiteware,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
job_run_datetime,String,26,,File: C:\XY\1\Projects\TrademeDataExtraction\rental.csv,
