Name,Type,Size,Scale,Source,Description
AsAt,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Bathrooms,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Bedrooms,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
BestContactTime,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Category,String,15,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
CategoryPath,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
District,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
DistrictId,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
EndDate,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
GeographicLocation_Accuracy,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
GeographicLocation_Easting,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
GeographicLocation_Latitude,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
GeographicLocation_Longitude,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
GeographicLocation_Northing,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
HasEmbeddedVideo,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
HasGallery,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsBold,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsClassified,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsFeatured,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsHighlighted,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsSuperFeatured,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
ListingGroup,String,25,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
ListingLength,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
NoteDate,String,25,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Parking,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_0,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_1,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_10,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_11,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_12,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_13,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_14,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_15,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_16,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_17,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_18,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_2,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_3,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
